healing_avg_per_10m, final_blows_avg_per_10m, role, deaths_avg_per_10m, playerId, name, eliminations_avg_per_10m, teamId, team, ultimates_earned_avg_per_10m, time_played_totalhero_damage_avg_per_10m, 
9.30559975154572, 6.1506187596257575, tank, 3.4212816850418277, 4659, Fury, 20.284228117682446, 4410, LDN, 3.7031850448580084, 46824.5572121143346877.269901028716, 
0, 5.116258934532887, tank, 6.339456472903967, 8203, Fusions, 14.607801371700793, 4402, BOS, 4.210622295546606, 51013.837129771717341.541608435957, 
0, 6.221823775390542, tank, 6.408191768662608, 4606, Gamsu, 17.747967359293753, 4408, SHD, 4.401151841117272, 41852.680082321177493.397354330032, 
7952.203574487313, 3.755115772037845, support, 3.129263143364871, 8785, GARRY, 15.02046308815138, 7692, CDH, 4.380968400710819, 958.69214653968817428.68769803933, 
0, 5.878850210728284, tank, 5.878850210728284, 8712, Gator, 13.437371910236077, 7698, ATL, 4.199178721948774, 714.42541474103936701.287101222071, 
0.2700050534683716, 5.556547956226646, tank, 4.963130213328655, 5210, Geguri, 17.478849881722653, 4408, SHD, 3.1289299170984997, 11122.0132511854176277.563694333792, 
0, 5.612789675234682, tank, 5.510272968837702, 4666, Gesture, 17.415025499187063, 4410, LDN, 4.446662139969028, 46821.6368697285657548.494592172954, 
9110.473753504595, 2.935692653703925, support, 4.654146890018417, 4413, Gido, 10.418128807656613, 7697, WAS, 4.528842935287153, 33518.495158493527005.434257364239, 
116.62761058378139, 5.687765512766843, offense, 4.110389247080492, 8713, GodsB, 17.4202210947697, 7693, HZS, 4.65153292946924, 52111.8529472947110489.687184860424, 
8878.671078649455, 3.625037651103804, support, 6.0988809130057255, 8694, Greyy, 12.173268328368856, 7694, PAR, 4.555790561522349, 24496.297293066985545.753668300581, 
7195.1064886568465, 3.352149979036765, offense, 4.469533305382353, 8789, Guard, 16.621076979390626, 4410, LDN, 5.028224968555147, 17183.002061426645712.986480037257, 
0, 1.587280529559135, tank, 5.290935098530449, 8863, GuardiaN, 7.4073091379426295, 4408, SHD, 3.7036545689713147, 1134.0150442719465955.3345773847295, 
0, 4.8155092547396, tank, 5.285315035689805, 8741, Guxue, 14.960377837133088, 7693, HZS, 4.521880641645723, 40867.9517760872848264.239822075138, 
9397.032549089401, 3.3822728565705047, support, 5.254141422229753, 4664, HaGoPeun, 12.470517478805753, 4407, FLA, 4.479575119198341, 46477.622198522096044.406026259753, 
9547.288467189957, 4.882369912463398, offense, 3.7994733353204646, 8750, Haksal, 19.501473703892998, 7696, VAN, 5.339800363153086, 64272.065743923196024.402704789698, 
1108.052342047686, 5.017215389207798, offense, 4.234585690612709, 8723, Happy, 16.197639654851915, 7699, GZC, 4.486145236589702, 42932.181158363829569.091363614316, 
150.69829482254585, 4.306058725070471, offense, 3.0757562321931937, 4661, Hooreg, 16.609083653843246, 7696, VAN, 4.92120997150911, 975.36988419294368571.733658214336, 
7.758518386534944, 5.259839598366715, tank, 3.4049843243834896, 4671, HOTBA, 16.640701600878067, 7699, GZC, 2.901523607159472, 45286.552098274236669.754917182813, 
8477.284482303821, 3.596158675357744, offense, 5.119531447557899, 4645, Hydration, 15.883034149496702, 4406, GLA, 4.869798206213611, 48051.2723712921145390.535703987148, 
7475.306214478678, 0.8347251191301336, support, 6.260438393476001, 8782, Hyeonu, 6.677800953041069, 7697, WAS, 3.756263036085601, 1437.5990041494373572.634840339715, 
10568.360507306817, 3.77314079030422, support, 5.618399424978547, 8742, HyP, 13.770586825927811, 7694, PAR, 4.819705389074734, 21785.5639554262167008.936627697189, 
5230.891338853825, 2.1184408076458174, support, 3.6381918218265126, 8717, iDK, 12.28465403129395, 7693, HZS, 3.1316081504329474, 52113.7997349500664488.094343446388, 
4345.070013560334, 3.6858202656493932, offense, 6.406306652200136, 9602, im37, 13.748694641708054, 7695, TOR, 4.475638894002834, 20511.0381275415426600.631322152877, 
964.707177811146, 6.697925443180024, offense, 5.55707001055046, 8754, ivy, 18.376359549237502, 7695, TOR, 4.698361620399175, 48910.6668593287510306.509003480172, 
10963.611714232413, 3.6551714266463717, support, 4.98164492825191, 5872, IZaYaKI, 13.706892849923893, 4405, VAL, 5.173246656261599, 40709.4449566006668148.805107873178, 
6909.756616371486, 4.242902289555433, offense, 6.083430680001854, 4140, Jake, 14.724227123571364, 4525, HOU, 4.378520170956747, 30969.367435932165156.949299938773, 
0, 3.7654830872732976, tank, 6.162930952191909, 4648, Janus, 12.027874034167944, 7697, WAS, 4.022836247914278, 44297.105081617836550.227790781587, 
5440.599409218075, 2.23155422775066, support, 3.999955691251183, 8179, Jecse, 13.473534960003985, 4409, SEO, 3.0315453660008966, 28500.3157033324243696.567141118508, 
4298.704900994649, 6.446277041464025, offense, 6.215568178927419, 8811, JinMu, 16.23104703492837, 7692, CDH, 5.007739428000475, 44211.565554320818599.225855206412, 
0.018949099841812016, 5.236636206358351, tank, 2.445630456445433, 8748, JJANU, 21.067892901516572, 7696, VAN, 1.9602381521127517, 64277.904123127466509.911932105899, 
9348.30997847066, 4.645515932488436, support, 3.7117438857570924, 4653, JJONAK, 16.80789684116419, 4403, NYE, 4.9489918476761225, 51404.408782660968435.221186820158, 
1911.6221899275106, 5.231470760227017, offense, 4.437589983383229, 4635, KariV, 17.933563189727636, 4405, VAL, 4.966843834612421, 29475.45863628387510037.780871886924, 
5866.668001918487, 1.71058985417721, support, 4.374058620412866, 3981, Kellex, 11.078652411281931, 4402, BOS, 3.180089863134813, 52262.6740604639053950.1951690329834, 
9836.415655187328, 4.04794945763594, support, 5.252696320027589, 8691, Kodak, 13.878683854751795, 7698, ATL, 4.915367198557926, 12450.7483424544337758.01224101901, 
7896.242513533835, 1.8817557738381692, support, 3.7635115476763383, 8790, Krillin, 18.06485542884642, 4410, LDN, 4.516213857211605, 1594.25576990842827626.847092175531, 
5295.4043968809565, 1.8718685332157565, support, 4.415027850757164, 8706, Kris, 11.244120637454646, 4407, FLA, 2.80134808074358, 46477.6230040788653498.247475866497, 
6493.763211699612, 2.145141595504298, support, 4.761167931485149, 8744, Kruise, 10.725707977521491, 7694, PAR, 3.623196475333479, 45871.097836256034199.874614311914, 
9068.702549918366, 3.604211103281206, offense, 5.385115413137802, 8718, Krystal, 14.883271732372982, 7693, HZS, 5.003493061025674, 14150.1145572662355655.519835701009, 
76.85989825871373, 5.620251137601864, offense, 4.738148941117267, 5865, KSF, 16.911159252604712, 4405, VAL, 4.511322662021227, 23806.76534271240210359.50255222371, 
